scenario,label,n,mean,median_linear,p95_linear,p95_r6,p95_nearest,p99_linear,p10_p95,html_p95,html_median,html_errorPct,vs_p10
Load,overall,4972,5.6619,2.0,19.0,19.0,19.0,23.0,19.0,19.0,2.0,0.0,MATCH
Load,login,1003,4.3559,4.0,6.0,6.8,6.0,19.0,6.0,6.7999999999999545,4.0,0.0,MATCH
Load,search,1000,2.51,2.0,3.0,3.0,3.0,16.01,3.0,3.0,2.0,0.0,MATCH
Load,detail,994,2.4004,2.0,4.0,4.0,4.0,16.07,4.0,4.0,2.0,0.0,MATCH
Load,cart,988,1.6073,2.0,3.0,3.0,3.0,3.13,3.0,3.0,2.0,0.0,MATCH
Load,checkout,987,17.5258,17.0,22.0,22.0,22.0,32.14,22.0,22.0,17.0,0.0,MATCH
Stress,overall,104397,242.2253,233.0,476.0,476.0,476.0,594.0,476.0,455.0,251.0,0.0,MATCH
Stress,login,20923,294.7004,287.0,506.0,506.0,506.0,613.0,506.0,509.0,292.0,0.0,MATCH
Stress,search,20898,248.5715,238.0,447.0,447.0,447.0,558.0,447.0,451.0,243.0,0.0,MATCH
Stress,detail,20869,254.7046,243.0,462.0,462.0,462.0,593.0,462.0,464.0,248.0,0.0,MATCH
Stress,cart,20857,104.0812,93.0,217.0,217.0,217.0,294.0,217.0,219.0,95.0,0.0,MATCH
Stress,checkout,20850,308.9052,299.0,534.0,534.0,534.0,637.0,534.0,537.0,305.0,0.0,MATCH
Spike,overall,24330,126.6646,73.0,381.0,381.0,381.0,925.84,381.0,383.0,78.0,0.0,MATCH
Spike,login,4898,175.1341,128.0,437.15,438.0,438.0,1106.51,437.15,438.0,128.0,0.0,MATCH
Spike,search,4883,109.1761,71.0,332.0,332.8,332.0,741.48,332.0,332.8000000000002,71.0,0.0,MATCH
Spike,detail,4865,108.2298,67.0,354.0,354.0,354.0,507.52,354.0,354.0,67.0,0.0,MATCH
Spike,cart,4846,51.2326,28.0,163.0,163.0,163.0,236.55,163.0,163.0,28.0,0.0,MATCH
Spike,checkout,4838,189.3394,152.0,437.0,437.05,437.0,1204.89,437.0,437.0500000000002,152.0,0.0,MATCH
Soak,overall,5439,5.9511,2.0,18.0,18.0,18.0,25.0,18.0,18.0,2.0,0.0,MATCH
Soak,login,1093,4.4419,4.0,6.0,6.3,6.0,20.0,6.0,6.2999999999999545,4.0,0.0,MATCH
Soak,search,1092,2.3068,2.0,4.0,4.0,4.0,7.0,4.0,4.0,2.0,0.0,MATCH
Soak,detail,1088,2.2105,2.0,4.0,4.0,4.0,14.0,4.0,4.0,2.0,0.0,MATCH
Soak,cart,1087,1.9117,2.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,0.0,MATCH
Soak,checkout,1079,19.0093,16.0,23.0,23.0,23.0,122.74,23.0,23.0,16.0,0.0,MATCH
