evidence_id,platform_id,evidence_path,checklist_ids,statuses,execution_modes,captured_at
T3-ANDROID-CHROME-EMULATION-001,android-chrome-emulation,evidence/android-chrome-emulation/001-web-login-baseline.png,GUI-WEB-LOGIN-001;GUI-WEB-LOGIN-002;GUI-WEB-LOGIN-003;GUI-WEB-LOGIN-009,GUI-WEB-LOGIN-001=Fail;GUI-WEB-LOGIN-002=Fail;GUI-WEB-LOGIN-003=Fail;GUI-WEB-LOGIN-009=Fail,LIVE_LOCAL_SUT,2026-08-02T13:01:10.599Z
T3-ANDROID-CHROME-EMULATION-002,android-chrome-emulation,evidence/android-chrome-emulation/002-web-login-required-validation.png,GUI-WEB-LOGIN-004;GUI-WEB-LOGIN-005,GUI-WEB-LOGIN-004=Pass;GUI-WEB-LOGIN-005=Pass,LIVE_LOCAL_SUT,2026-08-02T13:01:12.329Z
T3-ANDROID-CHROME-EMULATION-003,android-chrome-emulation,evidence/android-chrome-emulation/003-web-login-invalid-feedback.png,GUI-WEB-LOGIN-006,GUI-WEB-LOGIN-006=Pass,LIVE_LOCAL_SUT,2026-08-02T13:01:14.127Z
T3-ANDROID-CHROME-EMULATION-004,android-chrome-emulation,evidence/android-chrome-emulation/004-web-login-forgot-navigation.png,GUI-WEB-LOGIN-007,GUI-WEB-LOGIN-007=Fail,LIVE_LOCAL_SUT,2026-08-02T13:01:15.891Z
T3-ANDROID-CHROME-EMULATION-005,android-chrome-emulation,evidence/android-chrome-emulation/005-web-login-register-navigation.png,GUI-WEB-LOGIN-008,GUI-WEB-LOGIN-008=Pass,LIVE_LOCAL_SUT,2026-08-02T13:01:18.445Z
T3-ANDROID-CHROME-EMULATION-006,android-chrome-emulation,evidence/android-chrome-emulation/006-web-login-lockout-feedback.png,GUI-WEB-LOGIN-010,GUI-WEB-LOGIN-010=Fail,LIVE_LOCAL_SUT,2026-08-02T13:01:20.229Z
T3-ANDROID-CHROME-EMULATION-007,android-chrome-emulation,evidence/android-chrome-emulation/007-web-login-keyboard-focus.png,GUI-WEB-LOGIN-011,GUI-WEB-LOGIN-011=Fail,LIVE_LOCAL_SUT,2026-08-02T13:08:03.311Z
T3-ANDROID-CHROME-EMULATION-008,android-chrome-emulation,evidence/android-chrome-emulation/008-web-login-responsive-320.png,GUI-WEB-LOGIN-012,GUI-WEB-LOGIN-012=Pass,LIVE_LOCAL_SUT,2026-08-02T13:01:23.610Z
T3-ANDROID-CHROME-EMULATION-009,android-chrome-emulation,evidence/android-chrome-emulation/009-web-login-trim.png,GUI-WEB-LOGIN-013,GUI-WEB-LOGIN-013=Fail,LIVE_LOCAL_SUT,2026-08-02T13:01:26.112Z
T3-ANDROID-CHROME-EMULATION-010,android-chrome-emulation,evidence/android-chrome-emulation/010-web-register-baseline.png,GUI-WEB-REGISTER-001;GUI-WEB-REGISTER-002;GUI-WEB-REGISTER-003;GUI-WEB-REGISTER-008,GUI-WEB-REGISTER-001=Pass;GUI-WEB-REGISTER-002=Pass;GUI-WEB-REGISTER-003=Pass;GUI-WEB-REGISTER-008=Pass,LIVE_LOCAL_SUT,2026-08-02T13:01:27.292Z
T3-ANDROID-CHROME-EMULATION-011,android-chrome-emulation,evidence/android-chrome-emulation/011-web-register-special-character.png,GUI-WEB-REGISTER-004,GUI-WEB-REGISTER-004=Pass,LIVE_LOCAL_SUT,2026-08-02T13:01:29.330Z
T3-ANDROID-CHROME-EMULATION-012,android-chrome-emulation,evidence/android-chrome-emulation/012-web-register-weak-feedback.png,GUI-WEB-REGISTER-005,GUI-WEB-REGISTER-005=Pass,LIVE_LOCAL_SUT,2026-08-02T13:01:31.208Z
T3-ANDROID-CHROME-EMULATION-013,android-chrome-emulation,evidence/android-chrome-emulation/013-web-register-duplicate.png,GUI-WEB-REGISTER-006,GUI-WEB-REGISTER-006=Fail,LIVE_LOCAL_SUT,2026-08-02T13:01:33.274Z
T3-ANDROID-CHROME-EMULATION-014,android-chrome-emulation,evidence/android-chrome-emulation/014-web-register-login-navigation.png,GUI-WEB-REGISTER-007,GUI-WEB-REGISTER-007=Pass,LIVE_LOCAL_SUT,2026-08-02T13:01:35.712Z
T3-ANDROID-CHROME-EMULATION-015,android-chrome-emulation,evidence/android-chrome-emulation/015-web-register-required.png,GUI-WEB-REGISTER-009;GUI-WEB-REGISTER-010,GUI-WEB-REGISTER-009=Pass;GUI-WEB-REGISTER-010=Pass,LIVE_LOCAL_SUT,2026-08-02T13:01:37.358Z
T3-ANDROID-CHROME-EMULATION-016,android-chrome-emulation,evidence/android-chrome-emulation/016-web-register-xss.png,GUI-WEB-REGISTER-011,GUI-WEB-REGISTER-011=Pass,LIVE_LOCAL_SUT,2026-08-02T13:01:38.986Z
T3-ANDROID-CHROME-EMULATION-017,android-chrome-emulation,evidence/android-chrome-emulation/017-web-register-network-error.png,GUI-WEB-REGISTER-012,GUI-WEB-REGISTER-012=Pass,MOCKED_NETWORK_FAILURE,2026-08-02T13:01:40.307Z
T3-ANDROID-CHROME-EMULATION-018,android-chrome-emulation,evidence/android-chrome-emulation/018-admin-login-baseline.png,GUI-ADMIN-LOGIN-001;GUI-ADMIN-LOGIN-002;GUI-ADMIN-LOGIN-008;GUI-ADMIN-LOGIN-009,GUI-ADMIN-LOGIN-001=Pass;GUI-ADMIN-LOGIN-002=Fail;GUI-ADMIN-LOGIN-008=Pass;GUI-ADMIN-LOGIN-009=Pass,LIVE_LOCAL_SUT,2026-08-02T13:01:42.454Z
